radtrans_id,name,molar_mass,H04,G03,H12,H16,N_iso,isotopes
121,PS,63.038562,-99,-99,-99,-99,1,[312]
122,ScH,45.963849,-99,-99,-99,-99,1,[451]
123,SH,33.072741,-99,-99,-99,-99,1,[21]
124,SiH,29.093441,-99,-99,-99,-99,1,[281]
125,SiH2,30.101382,-99,-99,-99,-99,1,[2811]
126,SiH4,32.117264,-99,-99,-99,-99,1,[2811]
127,SiO,44.084905,-99,-99,-99,-99,1,[286]
128,SiO2,60.08431,-99,-99,-99,-99,1,[2866]
129,SiS,60.1503,-99,-99,-99,-99,1,[282]
130,TiH,48.874941,-99,-99,-99,-99,1,[481]
131,H3O+,19.022679,-99,-99,-99,-99,1,[1116]
132,NaOH,39.997115,-99,-99,-99,-99,1,[2361]
133,KOH,56.105646,-99,-99,-99,-99,1,[3961]
134,YO,104.905245,-99,-99,-99,-99,1,[896]
135,SO,48.064205,-99,-99,-99,-99,1,[326]
136,LiOH,23.947346,-99,-99,-99,-99,1,[761]
137,CaOH,57.085346,-99,-99,-99,-99,1,[4061]
138,ZrO,107.223405,-99,-99,-99,-99,1,[916]
