nu,sw,nu-err,sw-err,nu-ref,sw-ref
2779.957303,4.116e-29,3,3,752,752
2779.96004,9.701e-24,3,6,752,752
2779.96196,7.635e-29,3,3,245,242
2779.970018,2.128e-25,3,3,239,257
2779.970456,1.017e-28,1,6,752,752
2779.971165,9.39e-28,1,6,752,752
2779.97437,2.445e-28,3,3,245,242
2779.974539,2.343e-29,1,5,752,752
2779.980111,1.74e-25,4,6,752,752
2779.982021,2.228e-23,3,4,744,744
2779.998744,2.433e-27,3,3,744,744
2780.008739,3.914e-25,3,3,239,257
2780.010829,2.976e-27,3,3,247,744
2780.019531,1.051e-23,3,4,744,744
2780.022454,2.272e-27,3,3,247,744
2780.028285,1.316e-27,3,3,247,744
2780.037401,3.037e-24,3,4,744,744
2780.038302,4.095e-28,3,3,744,744
2780.043172,3.316e-28,1,6,752,752
2780.045368,3.821e-28,3,3,744,744
2780.046926,8.171e-25,4,3,247,744
2780.054318,8.251e-29,3,3,245,242
2780.066803,9.011e-26,3,3,744,744
2780.068621,5.717e-28,1,6,752,752
2780.079112,1.855e-23,3,4,744,744
2780.080946,5.955e-24,3,6,752,752
2780.092454,2.449e-29,1,4,752,752
2780.099668,2.081e-28,3,3,245,242
2780.101789,3.405e-28,3,4,752,752
2780.104867,4.741e-25,4,3,247,744
2780.105932,1.137e-29,1,6,752,752
2780.116078,1.355e-28,3,3,245,242
2780.124911,5.009e-25,4,6,752,752
2780.126249,6.735e-25,3,3,744,744
2780.127934,3.139e-25,4,3,247,744
2780.136931,3.715e-24,3,4,744,744
2780.142327,4.67e-28,3,5,752,752
2780.14367,1.096e-27,3,3,245,242
2780.144263,8.212e-29,1,6,752,752
2780.149234,4.688e-28,3,5,752,752
2780.154299,2.591e-25,3,3,239,257
2780.164764,1.291e-28,1,6,752,752
2780.16708,2.555e-25,5,3,245,242
2780.167681,1.133e-27,3,3,744,744
2780.179244,4.544e-25,3,3,239,257
2780.182392,7.442e-28,2,3,247,744
2780.18697,3.13e-29,1,4,752,752
2780.1908,9.729e-27,3,3,245,242
2780.192378,2.087e-23,4,4,744,744
2780.20062,5.142e-25,3,3,239,257
2780.201444,1.151e-28,3,3,245,242
2780.212,4.866e-28,1,5,752,752
2780.215096,5.63e-24,3,6,752,752
2780.216767,5.25e-28,3,5,752,752
2780.224059,9.729e-27,3,3,245,242
2780.225411,6.219e-28,3,3,245,242
2780.225746,7.346e-28,3,6,752,752
2780.230698,5.788e-28,3,3,245,242
2780.232612,8.373e-25,3,3,744,744
2780.243369,1.158e-28,3,3,245,242
2780.247924,8.585e-28,1,6,752,752
2780.249745,1.347e-28,1,6,752,752
2780.251398,3.165e-25,3,3,239,257
2780.262214,1.694e-29,1,4,752,752
2780.263416,4.061e-29,3,3,247,744
2780.264796,2.668e-25,3,6,752,752
2780.267878,4.689e-23,4,4,744,744
2780.276108,1.108e-27,3,3,247,744
2780.278807,5.004e-28,2,3,247,744
2780.288067,1.449e-27,1,4,752,752
